idx_all,idx,english,french,ALL VOTEINTENTION,ALL CRITICISM,ALL SUPPORT,MACRON VOTEINTENTION,LEPEN VOTEINTENTION,MELENCHON VOTEINTENTION,MACRON CRITICISM,LEPEN CRITICISM,MELENCHON CRITICISM,MACRON  SUPPORT,LEPEN SUPPORT,MELENCHON SUPPORT
3380256,89,"Thank you so much for your action. Yes, it was a great disappointment not to know you made it to the second round, but I am so proud to have led this fight. The work to be done was enormous, and you and your team were so wonderful. The fight continues. Thank you and Bravo!","Merci mille fois pour votre action. Oui une grande déception de ne pas vous savoir au 2e tour, mais une telle fierté d’avoir mené ce combat. Le travail à accomplir était titanesque et vous et votre équipe avez été tellement formidables. Le combat continue. Merci et Bravo!",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4380772,90,"Do me a favor, tell Melenchon to go vote for Le Pen this Sunday! Thank you…","Rends-moi service, dis à Melenchon d’aller voter Le Pen ce dimanche! Merci…",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2851267,91,"The elections are in a week, I hope you're registered on the lists.",Les élections c’est dans une semaine j’espère t inscrits sur les listes,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2888628,92,Exploitation is who sells it best…,L’exploitation c’est  qui la vend le mieux…,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3779452,93,We only vote against Macron and not for your ideas.,On vote uniquement contre Macron et non pas pour tes idées,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2754385,94,"The boxes of injections for 5-11 year olds are already in the warehouses, ready to mutilate our children!!! Are you going to vote for Macron and poison your children!!?","Les cartons d'injections pour les 5- 11 ans sont déjà dans les entrepôts, prêts à mutiler nos enfants !!! Allez vous voter Macron et empoisonner vos enfants !!? ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1063325,95,"Darmanin said worse in 2017, ditto for Bruno Lemaire, and they were ministers... so I'm not worried... she'll go to Macron easily Pecresse MacronDehorsDesLePremierTour","Darmanin a dit pire en 2017, idem pour bruno lemaire, et ils ont été ministre… donc je ne m’inquiète pas… elle ira chez macron facilement pecresse MacronDehorsDesLePremierTour",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
5547727,96,but we don't care about Poutou!,mais on s'en fout de Poutou !,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2583459,97,"I made the dam in the first round by voting for JLM, in the second round you can sort it out for yourself. For me, Macron or MLP are two sides of the same coin.","Le barrage je l'ai fait au 1er tour en votant JLM, au 2ème demerdez vous. Pour moi, Macron ou MLP c'est les 2 faces de la même pièce ",Mélenchon,Le Pen,None,NO,NO,YES,NO,YES,NO,NO,NO,NO
4066018,98,"For that you should not have introduced yourself, Mr. Roussel... You are like the Greens and the Socialists, just traitorous socialists.",Pour cela il ne fallait pas vous présenter monsieur Roussel... Vous etes comme les verts et les socialistes que des socials traitres.,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4491704,99,"If EM is elected, it's 5 years of hardship for JLM and others. If it's MLP, what a great opportunity to be reborn in the opposition, and perhaps get a good result in the legislative elections. Let's remember that Chirac secretly got people to vote for Mitterrand in 1981.","Si EM est élu c'est 5 ans au pain sec pour JLM et d'autres. Si c'est MLP quelle belle occasion de renaître dans l'opposition, et peut-être d'un beau score aux législatives. Souvenons nous que Chirac à fait voter en sous main pour Mitterrand en 81.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3556569,100,NeitherLePenNiMacron .... pff so pathetic... ah it's sure that the antifas are ruining the movement... I am a yellow vest at heart and I am proud as a GJ to vote for Le Pen next Sunday,NiLePenNiMacron ....pff tellement pathétique... ah c’est sûr que que les antifas on pourrit le mouvement... moi je suis gilet jaune dans le cœur et je suis fière en tant que GJ à voter le Pen Dimanche prochain,Le Pen,None,LePen,NO,YES,NO,NO,NO,NO,NO,NO,NO
2887579,101,"The investigation that casts suspicion on Emmanuel Macron's assets￼I'VE NEVER SEEN A MAN WITH AS MANY BUTTOCKS AS THIS LITTLE MACRON, KICK THIS GUY OUT PLEASE NO ABSTENTIONS EVERYONE VOTE AGAINST HIM AND HIS BAND OF CROOKS","L’enquête qui jette le soupçon sur le patrimoine d’Emmanuel Macron￼J’ AI JAMAIS VU UN HOMME AVEC AUTANT DE CESSEROLES AUX FESSES QUE CE PETIT MACRON , VIREZ MOI CE MEC SVP PAS D ABSTENTIONS VOTEZ TOUS CONTRE LUI ET SA BANDE D ESCROCS ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
4674934,102,"So publicly despised and condemned by the highest levels of government and the government, the profession of school teacher no longer attracts. This is the result of five years under Macron and Blanquer.","Tellement méprisé publiquement et jeté à la vindicte populaire par le plus haut sommet de l'État et le gouvernement, le métier de professeur des écoles n'attire plus. Voilà le résultat de 5 ans sous Macron et Blanquer.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
4544471,103,"If someone had told me one day that I would vote for Marine Le Pen, I would have called the person crazy. But I would never have imagined that the worst of the far-right was already here! We absolutely must get rid of them tomorrow because Macron will no longer have ANY LIMITS! AllAgainstMacron","Si on m'avait dit un jour que je voterais un jour Marine Lepen, j'aurais traité la personne de folle  Mais je n'aurais jamais imaginé que le Pire de l'extrême-droite était déjà là ! Il faut absolument s'en débarrasser demain car Macron n'aura plu AUCUNE LIMITE ! TousContreMacron",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2391725,104,"The oligarchy wants Macron, the people want Everything but Macron, All Against Macron, MLP, JLM's call does not follow the will of the people, the Neither Macron Nor Le Pen Abstentions are evading the will of the people. I choose the general interest, therefore MLP against my own interest, and you","L'oligarchie veut Macron   le peuple veut ToutsaufMacron TousContreMacron MLP ,l'appel de  JLM ne suis pas la volontè du peuple, les NiMacronNiLePenAbstention se soustraient a la volontè du peuple. Moi je choisi l'interet general donc MLP contre mon propre interet, et vous",Le Pen,Macron,None,NO,YES,NO,YES,NO,NO,NO,NO,NO
4902337,105,"A very successful performance by the journalists. Still very comfortable with their favorite candidate, the abject fascist Emmanuel Macron. Their connivance and bad faith remain intact. There's no doubt about it: they far outclass their predecessors.","Une prestation des journalistes  très réussie à Toujours très à l'aise avec leur candidat préféré le fasciste abjecte Emmanuel Macron.  Leur connivence et leur mauvaise foi restent intactsAucun doute, ils surclassent de très loin leurs prédécesseurs.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3955392,106,"No tweet today, I just got back and what do I see that further narrows the gap with Macron for the second round, my prediction from last week is on track for Friday night! the only vote needed to oust Macron","Pas de tweeter aujourd'hui, je viens de rentrer et que vois-je  qui resserre encore l'écart avec Macron pour le second tour, ma prédiction de la semaine dernière est en bonne voie pour vendredi soir!   le seul vote nécessaire pour dégager Macron  ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5666903,107,"that we resent her, that we don't respect her, that's one thing. But look at this interview from five years ago. Personally, I identify with it. I voted for Z. I find Marine Le Pen closer to what I think than Macron. To abstain is to support","qu’on lui en veuille, qu’on ne la respecte pas, c’est une chose. Mais regardez cette interview d’il y a cinq ans. Personnellement je m’y retrouve. J’ai voté Z. je trouve Marine Le Pen plus proche de ce que je pense que Macron. S’abstenir c’est soutenir",None,None,LePen,NO,NO,NO,NO,NO,NO,NO,NO,NO
3196139,108,But I have read the program and in detail. I will vote for Marine by choice because I agree with her 80% and also because I reject Macron 100%.,Mais j’ai lu le programme et en détails. Je voterai Marine par choix car j’adhère à 80% et aussi parce que je rejette à 100% Macron,Le Pen,Macron,LePen,NO,YES,NO,YES,NO,NO,NO,NO,NO
2741033,109,"Le Pen supporters, just to remind you that I'm going to make sure that many rebels don't vote for Le Pen. AbstentionLe24 NeitherMacronNorLePen Manage to elect whoever you want.","Les Lepénistes, Juste pour vous rappeler que je vais m'assurer que beaucoup d'insoumis ne votent pas pour Lepen. AbstentionLe24 NiMacronNiLePen  Débrouillez vous pour élire qui vous voulez.",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
1213454,110,Already as a columnist I couldn't stand you because you don't like anyone! Your campaign is financed by Bolloré. You don't think I'm going to vote against Macron to put the same character! You make women believe that they will go out alone at night without any problem,Déjà en tant que chroniqueur je ne pouvais pas te souffrir car tu n'aimes personne! Ta campagne est financé par Bolloré. Tu ne crois pas que je vais voter contre Macron pour mettre le même personnage! Tu fais croire aux femmes qu'elles vont sortir seules le soir sans problème,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3409056,111,"Ms. ... I'll be there for the legislative elections. But in the second round, sorry, I can't put another Macron ballot in. On the other hand, count on me to make sure he gets the smallest possible majority.",Mme ... je serai là pour les législatives. Mais au 2e tour désolé je ne peux plus mettre encore une fois un bulletin Macron. Par contre comptez sur moi pour qu'il ait la plus petite majorité possible,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
608248,112,It's clear that the youth of France will not vote for his government. It has only repressed and abandoned them during the Covid-19 pandemic. The youth are against Macron. 'We have lived through 5 years of authoritarianism and brutality.',C clair la jeunesse France ne votera pas   son gouvernement  n'a fait que les réprimer et les a avandonné pdt la pandémie covid19 La Jeunesse est contre Macron 'On a vécu 5 années d’autoritarisme et de brutalité.',None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
277106,113,"Come on, let's put the yellow vests back on... act 999 Jean Michel votes for Macron but would like to retire at 60 years old Macron resignation MacronDegage2022",Allez on va remettre les gilets jaune .. acte 999 jean michel vote macron mais aimerait etre en retraite à 60 ans macrondemission MacronDegage2022,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1882104,114,"It hasn't escaped your attention that Emmanuel Macron was elected President of the Republic in 2017 with a majority of votes. To see Macron at a rally, I'll pay for my trip, and that's fine.",Il ne vous a pas échappé que Emmanuel Macron a été élu président de la République en 2017 avec une majorité de voix. Pour voir Macron en meeting je vais payer mon déplacement et c'est très bien.,None,None,Macron,NO,NO,NO,NO,NO,NO,YES,NO,NO
1648228,115,"I have to stop watching, because I'm going to want to vote for Le Pen when Macron speaks, and Macron when Le Pen speaks. I can't take it anymore, they're both equally useless and wasteful with taxpayers' money.","Faut que j'arrête de regarder, car je vais vouloir voter Le Pen quand Macron parle, et Macron quand Le Pen parle. J'en peux plus, ils sont tous les deux aussi nuls et dépensiers avec l'argent des contribuables.",None,Le Pen,None,NO,NO,NO,NO,YES,NO,NO,NO,NO
819645,116,Yet these are observations made by some doctors. I am not using them as a voting argument. I am simply afraid for myself. The pass is indeed enough for me not to want Macron re-elected.,Ce sont pourtant des constats fait par quelques médecins. Je n’en fait pas un argument de vote. J’ai simplement peur pour moi-même. Le pass est en effet suffisant pour que je ne souhaite pas là ré-élection de Macron,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1180509,117,"So you vote for the extreme right: Macron, put in place by eugenicists. Macron means certain death with lethal injections for you and your children from the age of 2 and World War III according to the plan of his mentor and friend Klaus Schwab, the kind Nazi.",Donc vous votez pour l’extrême de l’extrême droite: Macron mis en place par des eugénistes. Macron c'est la mort assurée avec injections mortelles pour vous et vos enfants dés 2 ans et la 3ième guerre mondiale selon le plan de son mentor et ami Klaus Schwab le gentil nazi.,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
5053189,118,Do you think we haven't seen that Macron and the government have been coddling the far right for five years to impose on us a duo we don't want? So fuck off now! We don't care! We have other plans...,Vous croyez qu’on a pas vu que Macron et le gouvernement a caressé l’extrême droite pendant cinq ans pour nous imposer un duo qu’on ne voulez pas ? Alors demmerdez vous maintenant ! On s’en fiche ! On a d’autres projets ….,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
5452140,119,"I have been retweeting these 4 little pages since last August: the total influence of MCKINSEY-PFIZER USA on Macron, since 2007, which gave them the governance of voting Macron = voting McKinseyMacronGate USA think carefully.. me, JeVoteMelenchon","je retweete ces 4 petites pages depuis août dernier: la totale emprise de MCKINSEY -PFIZER USA sur Macron,depuis 2007, qui leur a donné la gouvernance de la  voter Macron=  voter McKinseyMacronGate USA réfléchissez  bien.. moi,  JeVoteMelenchon",Mélenchon,Macron,Mélenchon,NO,NO,YES,YES,NO,NO,NO,NO,YES
5617554,120,"because I think it goes against the official narrative. Macron, Draghi, Trudeau, VDL, B. Johnson, Y. Ardern were groomed as young leaders by grandpa Schwab and Soros, with Gates and the WHO. They are all participating in the implementation of the NWO","parce que je pense que ça va à l'encontre du narratif officiel. Macron, Draghi, Trudeau, VDL, B. Johnson, Y.Ardern ont été groomed comme young leaders par papis schwab et soros, avec Gates et l'OMS. Il participent tous à la mise en place du NOM",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
5041670,121,"You're right, vote for Macron! Honestly, I'll never understand those who want this to continue!",Vous avez raison votez Macron.! Franchement je comprendrais jamais ceux qui veulent que ça continue.!,Macron,None,Macron,YES,NO,NO,NO,NO,NO,YES,NO,NO
4020855,122,"People of France; it's up to you! As for me, I am certainly an analyst who does not have the right to vote in France, but I admit that contempt has been rife among you under these looks from Mr. Macron for the past 5 years. So know how to choose between contempt and respect.","Peuple de France  ; à vous de voir! Quand à moi, je suis certes un analyste qui n’a le droit de vote en France mais j’avoue que le mépris bat son plein chez vous sous ces regards de monsieur Macron depuis mtn 5 ans. Sachez donc choisir entre le mépris et le respect. ",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3037416,123,"Macron versus a goat, I vote for the goat. It's impossible to endure this narcissistic, sociopathic pervert and all his haughty, contemptuous ministers for 5 years. France will not recover from its dissolution in a federal Europe.","Macron face à une chèvre, je vote pour la chèvre. Impossible de subir ce pervers narcissique sociopathe et tous ses ministres hautains et méprisants 5 ans de +. La France ne se relèvera pas de sa dissolution dans une Europe fédérale.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
4496700,124,"If Macron had a good environmental program, he would be ranked higher in the analyses on the subject. He is completely in the red. If 100% renewable energy were a hoax, JLM would not be ranked at the top by The Shifters and Jancovici, who is pro-nuclear.","Si Macron avait un bon programme en environnement, il serait mieux classé dans les analyses sur le sujet. Il est complètement dans le rouge. Si le 100% enr était une fumisterie, JLM ne serait pas classé en tête par The Shifters et Jancovici qui est pro-nuc ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3078679,125,"Macron has no backbone and is doing his shit at the same time. But for 4 years he was on the Bianco/Cadene side, and after Paty's assassination he realized that maybe it was political bullshit and changed his tune. But it was definitely not his subject","Macron n’a pas de colonne vertébrale et fait son en même temps de merde. Mais pendant 4ans il était côté Bianco/Cadene, et à l’assassinat de Paty il s’est rendu compte que peut-être c’était une connerie politique et a changé son fusil d’épaule. Mais c’était surtout pas son sujet",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3847773,126,"Yes, but why have there been so many demonstrations every Saturday for several years now? If Macron was the best president, there is still a problem, so I'm voting for Zemmour.",Oui mais pourquoi autant de manifestations depuis quelques années tous les samedis si Macron était le meilleur des présidents il y a quand même un problème alors je vote Zemmour,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3837494,127,"Yes, I will vote to block Marine Le Pen's passage. The children will surely have a better future if she keeps her promises, especially if she doesn't miss the debate against Macron like in 2017.","Oui je vais voter pour faire barrage à  Marine le Pen passe, les enfants auront sûrement un meilleur avenir si elle tiens ses promesses avec son  surtout qu'elle se loupe pas au débat contre Macron comme en 2017. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4364155,128,"Let's come together and above all, don't vote for Macron in the second round, but vote for Le Pen, holding our noses for the most vulnerable, but once the pit is unblocked, I assure you, it will be better...","Rassemblés et surtout ne pas voter Macron au second tour , mais voter Le Pen, en se bouchant le nez pour les plus fragiles, mais une fois la fosse débouchée , je vous assure , ça ira mieux ...",Le Pen,Macron,LePen,NO,YES,NO,YES,NO,NO,NO,NO,NO
1326160,129,"In the DRC, the debate will be more interesting if we return to a two-round presidential election. There, the two candidates will debate project against project. In France, Macron refused to engage in this exercise before the first round, annoying some of his opponents.","En RDC,le débat contradictoire sera plus intéressant si on revient à une présidentielle à deux tours. Là les deux prétendants vont débattre projet contre projet.En France Macron a refusé de se livrer à cet exercice avant le 1er tour énervant certains de ses adversaires ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
3616516,130,"No, but the legislative elections could reopen the game and prevent Macron from implementing his disastrous project. If he doesn't have a majority, and that's very, very possible, he'll be reduced to a puppet! There aren't 36 solutions for that, just vote and get people to vote massively in the legislative elections...","Non, mais les législatives peuvent rouvrir le jeu et empêcher Macron de mettre en service son funeste projet.  S'il n'a pas de majorité,  et c'est très très possible, il sera réduit en un fantoche ! Pour ça pas 36 solutions,  voter et faire massivement voter aux législatives...",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
4982210,131,"Don't vote for Macron then, because he really presented the project to the assembly.","Vote pas Macron alors, car lui il a vraiment présenté le projet à l'assemblée. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5645688,132,2022 Presidential Elections: Macron elected by the boomers! Terrible reality of French fractures. The worst is coming. Massive strikes and protests. Soon... Yellow Vests The Return And a secession of the youth who will reject the system sold out... I can't wait...,presidentielles2022 Macron élu par les boomers ! Terrible réalité des Fractures françaises. Le pire arrive. Des grèves massives et des contestations. Bientôt..  GiletsJaunesLeRetour Et une sécession de la jeunesse qui refusera le système vendu... J'ai hâte..,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
4907456,133,"A very interesting video with many important elements to recall, but despite everything, given Macron's record, I don't think that his re-election is a better thing, because let's be frank, at least Le Pen stands by his convictions, whereas Macron does everything behind his back.","Une vidéo fort intéressante avec beaucoup d'éléments importants à rappelé mais malgré tous au vu du bilan de Macron, je ne pense pas que ça réélection soit une meilleur chose, car disont le franchement au moins le Pen assume ses conviction la ou macron fait tous par derrière.",None,Macron,LePen,NO,NO,NO,YES,NO,NO,NO,NO,NO
5888625,134,"It doesn't seem that difficult for you to vote for Macron given how you defend him tooth and nail. Apparently you don't mind going back into the streets in the face of a liberticidal and profoundly fascist state, which you've already suffered for 5 years! So young and already so cowardly","ça n’a pas l’air si difficile que ça pour vous de voter Macron vu comment vous le défendez bec et ongle. A priori ça ne vous dérange pas non plus de retourner dans la rue face à un état liberticide et profondément fasciste, déjà subie 5 ans ! Si jeune et déjà si lâche",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2205792,135,"I know we're disappointed, I'm going to vote for Marine to counter Macron.",Je sais on est déçu je vais voter marine pour contrer Macron,Le Pen,Macron,LePen,NO,YES,NO,YES,NO,NO,NO,NO,NO
1226842,136,Hate. And I'll be in opposition to it. And a right-wing program led by people I hate and I'll be in opposition to them (Macron's statement on LGBT and schools...). So I'm making a choice I don't like. But it's a left-wing program.,Déteste. Et dont je serai dans l'opposition. Et un programme de droite porté par des gens que je déteste et dont je serai dans l'opposition (la sortie de Macron sur les LGBT et l'école... ). Donc je fais un choix que j'aime pas. Mais qui est un programme de gauche.,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1375121,137,"Visiting a pro-Macron town. Yeah, yeah, we half got kicked out of a restaurant. We must not look right.",En visite avec  dans une ville pro Macron. Ouin Ouin on s'est a moitié fait jeter d'un restaurant. On doit pas avoir la gueule qu'il faut,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3194066,138,"But I think you already did that in 2017, right? What changed? Did your vote help save democracy and tolerance? What do you demand from Macron in exchange for your vote?","Mais je crois que tu as déjà fait ça en 2017, non ? Qu’est-ce qui a changé ? Est-ce que ton vote a servi à sauver la démocratie et la tolérance ? Qu’est-ce que tu exiges de Macron en échange de ton vote ?",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2776899,139,"The unscrupulous leftists are putting Macron and Le Pen on a par. I'm already giggling in advance about what will happen to morally filthy people like you, if by chance the bell wins. And I'm pissing myself thinking about the mess you'll pull off later.","Les gauchiasses sans scrupules mettent à égalité Macron et Le Pen. Moi, je rigole d'avance sous cape à propos de ce qui va arriver à des moralement crasseux comme vous, si d'aventure c'est la cloche qui gagne. Et je me pisse dessus en pensant à la gu... que vous ferez, plus tard.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
296153,140,"So I'm laughing at everyone for the moment, inviting everyone to vote for Macron, from the Greens to Hidalgo, including Pecresse. Le Pen is going to struggle.",Alors là je me marre tous pour l'instant invite à voter Macron des écolos à Hidalgo en passant par Pecresse. Le Pen va ramer,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2795754,141,"The die is not cast, no! The Macron-Black Rock project may be tied up, but that doesn't mean it's going to happen, unless the French have truly become completely passive zombies.","Les jeux ne sont pas faits, non ! Le projet Macron-Black Rock est ficelé peut-être, mais ce n'est pas pour ça que ça va se réaliser, sauf vraiment à ce que les Français soient devenus des zombis complétement passifs.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
815825,142,"Tonight, I'm supporting him because he's the best candidate to beat the ex-right and Macron. I'm voting for him because he has the best, most comprehensive program for ecology and wealth sharing! MelenchonWillWinElysee2022","Ce soir, je soutiens  parce qu'il est le meilleur candidat pour battre l'ex-droite et Macron.  Je vote pour  car il a le meilleur programme, le plus complet, pour l'écologie et le partage des richesses ! MelenchonVaGagner Elysee2022",Mélenchon,None,Mélenchon,NO,NO,YES,NO,NO,NO,NO,NO,YES
5091095,143,"I think you're joking, vaccines lower immunity and side effects multiply. Vote Macron and you'll get your 6th dose, but still without me.","Vous plaisantez je pense, les vaccins baissent l'immunité et les effets secondaires se multiplient. Votez Macron vous aurez votre 6ème dose mais toujours sans moi.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3187068,144,"But I'm glad she's staying at Fort Boyard, her colleagues should be happy for her! On that score, she could have been fired for saying I'm voting for Macron.","Mais encore heureux qu'elle reste dans fort boyard, ces collègues devraient etre content pour elle! A ce compte la elle aurait pu etre virée aussi pour dire je vote Macron",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2025106,145,I listened to your segment on RTLMatin and I congratulate you for the courage you had to talk about electoral fraud when no other candidate is talking about it and for having these two pro-Macron journalists try to destabilize you.,J'ai écouté votre passage sur RTLMatin  et je vous félicite pour le courage que vous avez eu de parler de fraudes électorales alors qu'aucun autre candidat n'en parle et le fait d'avoir ces 2 journalistes proMacron essayés de vous déstabiliser.,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
884620,146,Choosing between Macron and Le Pen He would surely have lost but it would have consoled us... we would surely be less angry and the country would perhaps be less under pressure. The fault lies first and foremost with the media who played Macron's game,Choisir entre Macron et LePen  Il aurait sûrement perdu mais ça nous aurait consoler... on serait sûrement moins en colère et le pays serait peut être moins sous cocotte minute.  La faute en revient en tout premier lieu au média qui ont joué le jeu de Macron,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2244602,147,I'm surprised to receive dozens of tweets from Macron's team when I don't subscribe to any of these accounts!! Aren't we being forced?,Je suis étonné de recevoir des dizaines de tweet de l’équipe de Macron alors que je ne suis abonné à aucun de ces comptes !! On nous forcerait pas la main ?,None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
2964771,148,"Macron organized this duel. And now we have to follow his plan and build a roadblock that he'll then deny ever existed? France can burn, but I won't take part in this circus.","Macron a organisé ce duel.  Et maintenant on doit suivre son plan et faire un barrage dont il niera ensuite qu'il a existé ? La France peut bien brûler, je ne participerai pas à ce cirque.",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
3395943,149,"My children, 16 and 19 years old, asked me to choose between the one who favors the rich and the one who hates black people. They told me that young people are against Macron, so they know what they know. For your information, my children are black. And I told them Macron. And there are the legislative elections.","Mes enfants, 16 et 19 ans m'ont demandé à choisir entre celui qui favorise les riches et celle qui hait les noirs. Me précisant que les jeunes sont contre Macron donc ce qu'ils connaissent. Pour info mes enfants dont noirs. Et je leur ai répondu Macron. Et il y a les législatives",Macron,Macron,Macron,YES,NO,NO,YES,NO,NO,YES,NO,NO
4272593,150,"As for the position of Prime Minister, it's nice to dream, he can always join forces with Le Pen. I'm tearing up my LFI card this evening and I'm going to join Mr. Roussel, who at least called on people to vote for Macron, to block Le Pen.","Quant au poste de premier Ministre c'est beau de rêver, il pourra toujours s'associer à LE PEN. Moi je déchire ma carte LFI dès ce soir et je vais rejoindre Mr ROUSSEL, qui lui a au moins appelé à voter Macron, pour faire barrage à LE PEN.",Macron,Mélenchon,None,YES,NO,NO,NO,NO,YES,NO,NO,NO
3796166,151,"Yeah, well, Sarkozy is only speaking out now that it's the second round and against Le Pen. If we play this game, Hidalgo, Roussel, Jadot and Mélenchon have also called for people to rally behind Macron.","Ouai fin Sarko se prononce uniquement mtn que c’est le second tour et face à Le Pen. Si on joue à ce jeu, Hidalgo, Roussel, Jadot et Melenchon ont aussi appellé à se rassembler derrière Macron. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
2022359,152,"I voted for Macron without hesitation. Without hesitation because I don't want to see any more children getting vaccinated. If it hadn't been for the health or vaccination pass issue, I would have abstained.","J'ai voté dégage Macron sans hésiter. Sans hésiter car je ne veux plus voir d'enfants se faire vacciner. S'il n'y avait pas eu le problème du pass sanitaire ou vaccinal, je me serais abstenue.",None,Macron,Macron,NO,NO,NO,YES,NO,NO,YES,NO,NO
1080204,153,"Anyway, I don't intend to vote for Le Pen, nor Macron, history... It was a different era, I don't think the FN could ever be in power. The French are not idiots, have a nice day.","De toute manière je n'ai pas l'intention de voter Lepen, ni Macron, l'histoire.... C'était une autre époque, je ne pense pas que le FN puisse être au pouvoir un jour. Les français ne sont pas des idiots, bonne journée.. ",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
457119,154,"Well, Macron neither! I plan to abstain, personally I won't vote for him.",Bah Macron non plus ! Je compte m’abstenir perso je voterai pas pour lui,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1833761,155,You will have to explain to your journalist that McKinsey and Rothschild are two different things: Macron is accused of having put his income in tax havens when he worked at the Rothschild bank. Your columnist should work on his subject a little more.,Il faudra expliquer à votre journaliste que Mc Kinsey et Rotschild sont 2 choses diff : Macron est accusé d'avoir mis ses revenus dans des paradis fiscaux quand il travaillait à la banque Rotschild . Il faudrait q votre chroniqueur travaille un peu plus son sujet,None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
1706158,156,"Giscard had big industrial projects, nuclear etc. what about Macron who closed Fessenheim?","Giscard avait de grand projets industriels, nucléaire etc quid de Macron qui a fermé Fessenheim ?",None,Macron,None,NO,NO,NO,YES,NO,NO,NO,NO,NO
1544686,157,"And when I say Le Pen and Macron, but before I could unfold my promo you and Kamil in particular were invective and contemptuous while I was calling for unity there, but you understood it even if I was not allowed to unfold my thoughts.","Et quand je dis Lepen et Macron, mais avant que je puisse dérouler mon promos vous et Kamil particulièrement a été invectivant et méprisant alors que j'appelais à la bas à l'union, mais tu l'as compris même si on m'a pas laissée dérouler ma pensée.",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
5868815,158,"Eric, are you all bound by time parity between candidates? Media, TV, Press? Have you been refused? Macron in an interview, possessed by his usual courage,... No, I'm kidding... You can use your joker and/or respond later...","Éric  êtes vs tenus par la parité de temps entre candidat ?  Com médias TV Presse  ?  Avez vous essuyé des refus ?   Macron en Itw, habité par son courage habituel,... Nan je déconne...   Vous pouvez user de votre joker et / ou répondre plus tard...",None,None,None,NO,NO,NO,NO,NO,NO,NO,NO,NO
